単語,カナ,原型,品詞,細分類1,細分類2,細分類3,活用1,活用2,発音
西側,ニシガワ,西側,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
山城,ヤマシロ,山城,名詞,固有名詞,人名,姓,,,
屋,ヤ,屋,名詞,接尾,一般,,,,
という,トイウ,という,助詞,格助詞,連語,,,,
質屋,シチヤ,質屋,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
庭,ニワ,庭,名詞,一般,,,,,
続き,ツヅキ,続き,名詞,接尾,一般,,,,
で,デ,で,助詞,格助詞,一般,,,,
、,、,、,記号,読点,,,,,
この,コノ,この,連体詞,,,,,,
質屋,シチヤ,質屋,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
勘太郎,カンタロウ,勘太郎,名詞,固有名詞,人名,名,,,
という,トイウ,という,助詞,格助詞,連語,,,,
十,ジュウ,十,名詞,数,,,,,
三,サン,三,名詞,数,,,,,
四,ヨン,四,名詞,数,,,,,
の,ノ,の,助詞,連体化,,,,,
倅,セガレ,倅,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
居,イ,居る,動詞,自立,一段,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
勘太郎,カンタロウ,勘太郎,名詞,固有名詞,人名,名,,,
は,ハ,は,助詞,係助詞,,,,,
無論,ムロン,無論,副詞,一般,,,,,
弱虫,ヨワムシ,弱虫,名詞,一般,,,,,
で,デ,だ,助動詞,特殊・ダ,連用形,,,,
ある,アル,ある,助動詞,五段・ラ行アル,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
弱虫,ヨワムシ,弱虫,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
癖,クセ,癖,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
四つ,ヨッツ,四つ,名詞,一般,,,,,
目,メ,目,名詞,接尾,一般,,,,
垣,カキ,垣,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
乗りこえ,ノリコエ,乗りこえる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
栗,クリ,栗,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
盗み,ヌスミ,盗む,動詞,自立,五段・マ行,連用形,,,
に,ニ,に,助詞,格助詞,一般,,,,
くる,クル,くる,動詞,自立,カ変・クル,基本形,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
ある,アル,ある,連体詞,,,,,,
日,ヒ,日,名詞,非自立,副詞可能,,,,
の,ノ,の,助詞,連体化,,,,,
夕方,ユウガタ,夕方,名詞,副詞可能,,,,,
折戸,オリド,折戸,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
蔭,カゲ,蔭,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
隠れ,カクレ,隠れる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
とうとう,トウトウ,とうとう,副詞,一般,,,,,
勘太郎,カンタロウ,勘太郎,名詞,固有名詞,人名,名,,,
を,ヲ,を,助詞,格助詞,一般,,,,
捕まえ,ツカマエ,捕まえる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
やっ,ヤッ,やる,動詞,非自立,五段・ラ行,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
その,ソノ,その,連体詞,,,,,,
時,トキ,時,名詞,非自立,副詞可能,,,,
勘太郎,カンタロウ,勘太郎,名詞,固有名詞,人名,名,,,
は,ハ,は,助詞,係助詞,,,,,
逃げ,ニゲ,逃げる,動詞,自立,一段,連用形,,,
路,ロ,路,名詞,接尾,一般,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
失っ,ウシナッ,失う,動詞,自立,五段・ワ行促音便,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
一生懸命,イッショウケンメイ,一生懸命,名詞,副詞可能,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
